HDI rank,Country,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling ,Gross_National_Income,Life expectancy at birth,HDI Rank Value(2020),Population Value(2021),Population Value(2020),Area (sq_km)
1,Switzerland,0.96,16.5,13.9,66933,84,3,8752564,8654622,41284
2,Norway,0.96,18.2,13,64660,83.2,1,5492570,5421241,323802
3,Iceland,0.96,19.2,13.8,55782,82.7,2,344646,341243,103000
4,Hong Kong,0.95,17.3,12.2,62607,85.5,4,7585785,7496981,1104
5,Australia,0.95,21.1,12.7,49238,84.5,5,25959987,25499884,7692024
6,Denmark,0.95,18.7,13,60365,81.4,5,5825798,5792202,43094
7,Sweden,0.95,19.4,12.6,54489,83,9,10196161,10099265,450295
8,Ireland,0.95,18.9,11.6,76169,82,8,5008554,4937786,70273
9,Germany,0.94,17,14.1,54534,80.6,7,83975691,83783942,357114
10,Netherlands,0.94,18.7,12.6,55979,81.7,10,17195298,17134872,41850
11,Finland,0.94,19.1,12.9,49452,82,12,5553102,5540720,338424
12,Singapore,0.94,16.5,11.9,90919,82.8,10,5925135,5850342,710
13,Belgium,0.94,19.6,12.4,52293,81.9,16,11658404,11589623,30528
13,New Zealand,0.94,20.3,12.9,44057,82.5,13,4883704,4822233,270467
15,Canada,0.94,16.4,13.8,46808,82.7,15,38261228,37742154,9984670
16,Liechtenstein,0.94,15.2,12.5,146830,83.3,14,38250,38128,160
17,Luxembourg,0.93,14.4,13,84649,82.6,17,640202,625978,2586
18,United Kingdom,0.93,17.3,13.4,45225,80.7,17,68401087,67886011,242900
19,Japan,0.93,15.2,13.4,42274,84.8,19,125802521,126476461,377930
19,Korea,0.93,16.5,12.5,44501,83.7,20,51331264,51269185,100210
21,United States,0.92,16.3,13.7,64765,77.2,21,334058426,331002651,9372610
22,Israel,0.92,16.1,13.3,41524,82.3,22,8868656,8655535,20770
23,Malta,0.92,16.8,12.2,38884,83.8,26,443646,441543,316
23,Slovenia,0.92,17.7,12.8,39746,80.7,23,2078724,2078938,20273
25,Austria,0.92,16,12.3,53619,81.6,23,9065484,9006398,83871
26,United Arab Emirates,0.91,15.7,12.7,62574,78.7,25,10051436,9890402,83600
27,Spain,0.91,17.9,10.6,38354,83,27,46736811,46754778,505992
28,France,0.9,15.8,11.6,45937,82.5,28,65520147,65273511,551695
29,Cyprus,0.9,15.6,12.4,38188,81.2,29,1220541,1207359,9251
30,Italy,0.9,16.2,10.7,42840,82.9,32,60320493,60461826,301336
31,Estonia,0.89,15.9,13.5,38048,77.1,30,1324323,1326535,45227
32,Czechia,0.89,16.2,12.9,38745,77.7,30,10732960,10708981,78865
33,Greece,0.89,20,11.4,29002,80.1,33,10340571,10423054,131990
34,Poland,0.88,16,13.2,33034,76.5,36,37764461,37846611,312679
35,Bahrain,0.88,16.3,11,39497,78.8,35,1775452,1701575,765
35,Lithuania,0.88,16.3,13.5,37931,73.7,34,2670680,2722289,65300
35,Saudi Arabia,0.88,16.1,11.3,46112,76.9,38,35659227,34813871,2149690
38,Portugal,0.87,16.9,9.6,33155,81,39,10150252,10196709,92090
39,Latvia,0.86,16.2,13.3,32803,73.6,37,1855735,1886198,64559
40,Andorra,0.86,13.3,10.6,51167,80.4,45,77355,77265,468
